idx,k0,seed,M,arm,response_err
16,1,2,2,clip,1.0251304590421426
16,1,2,4,retrain,0.5272880931826789
16,1,2,4,clip,0.8993113911347057
16,1,2,8,retrain,0.23277862441400748
16,1,2,8,clip,0.7358973578965259
16,1,2,12,retrain,0.23995940476688174
16,1,2,12,clip,0.6918519389983199
16,1,2,16,retrain,0.6563572955977851
16,1,2,16,clip,0.6563572955977851
17,-1,0,2,retrain,0.9369121394493343
17,-1,0,2,clip,0.9882380207017774
17,-1,0,4,retrain,0.4105029669188892
17,-1,0,4,clip,0.857784910743343
17,-1,0,8,retrain,0.16869426638108592
17,-1,0,8,clip,0.7127100668516528
17,-1,0,12,retrain,0.17073350918404195
17,-1,0,12,clip,0.6731936776311223
17,-1,0,16,retrain,0.6370313685122978
17,-1,0,16,clip,0.6370313685122978
17,-1,1,2,retrain,1.0152759010127015
17,-1,1,2,clip,1.0306927861516837
17,-1,1,4,retrain,0.41891627944296894
17,-1,1,4,clip,0.925795937414877
17,-1,1,8,retrain,0.18352396086126557
17,-1,1,8,clip,0.8079609838974012
17,-1,1,12,retrain,0.29748184356136936
17,-1,1,12,clip,0.7634747700243438
17,-1,1,16,retrain,0.7214352851001227
17,-1,1,16,clip,0.7214352851001227
17,-1,2,2,retrain,0.7426738962655847
17,-1,2,2,clip,0.9683245623588571
17,-1,2,4,retrain,0.3879302084070909
17,-1,2,4,clip,0.8380712008357727
17,-1,2,8,retrain,0.14333503131488437
17,-1,2,8,clip,0.6884447620472772
17,-1,2,12,retrain,0.13873809680029858
17,-1,2,12,clip,0.6546672158050055
17,-1,2,16,retrain,0.6162439260219459
17,-1,2,16,clip,0.6162439260219459
18,-2,0,2,retrain,1.1029115703717272
18,-2,0,2,clip,1.0093477807521833
18,-2,0,4,retrain,0.5329779939178627
18,-2,0,4,clip,0.9675062187789244
18,-2,0,8,retrain,0.2872587928311941
18,-2,0,8,clip,0.7192515624272695
18,-2,0,12,retrain,0.2484146936844843
18,-2,0,12,clip,0.6515778199608718
18,-2,0,16,retrain,0.6083090199957495
18,-2,0,16,clip,0.6083090199957495
18,-2,1,2,retrain,1.0214374632825165
18,-2,1,2,clip,1.0543364119672503
18,-2,1,4,retrain,0.5048826950456903
18,-2,1,4,clip,1.0075408731827236
18,-2,1,8,retrain,0.3061439932755722
18,-2,1,8,clip,0.7536181690914365
18,-2,1,12,retrain,0.33523357643990204
18,-2,1,12,clip,0.6855699210292779
18,-2,1,16,retrain,0.6425616969224357
18,-2,1,16,clip,0.6425616969224357
18,-2,2,2,retrain,1.0012182035038653
18,-2,2,2,clip,1.0303253641602108
18,-2,2,4,retrain,0.5069764728570099
18,-2,2,4,clip,0.992984169354407
18,-2,2,8,retrain,0.2593283535346065
18,-2,2,8,clip,0.7444865191427925
18,-2,2,12,retrain,0.2733040077964972
18,-2,2,12,clip,0.6763318930351636
18,-2,2,16,retrain,0.6318920359627481
18,-2,2,16,clip,0.6318920359627481
19,-4,0,2,retrain,1.094080474455794
19,-4,0,2,clip,1.055772945562354
19,-4,0,4,retrain,0.6654231157817263
19,-4,0,4,clip,1.0320000266592764
19,-4,0,8,retrain,0.4209110173304943
19,-4,0,8,clip,0.7013176316173989
19,-4,0,12,retrain,0.3252951779293564
19,-4,0,12,clip,0.5781269665607838
19,-4,0,16,retrain,0.526485567292677
19,-4,0,16,clip,0.526485567292677
19,-4,1,2,retrain,0.9700670127993728
19,-4,1,2,clip,1.1087107015521878
19,-4,1,4,retrain,0.6235178314003338
19,-4,1,4,clip,1.078693785681982
19,-4,1,8,retrain,0.4091599195017919
19,-4,1,8,clip,0.7221377753833549
19,-4,1,12,retrain,0.3697117835445596
19,-4,1,12,clip,0.6092070415250973
19,-4,1,16,retrain,0.5562182181053854
19,-4,1,16,clip,0.5562182181053854
19,-4,2,2,retrain,0.9486129572430062
19,-4,2,2,clip,1.0981633151334689
19,-4,2,4,retrain,0.5967862057743862
19,-4,2,4,clip,1.095328776017105
19,-4,2,8,retrain,0.39063872564516744
19,-4,2,8,clip,0.7355816812328295
19,-4,2,12,retrain,0.3335987118757153
