M,seed,idx,k0,response_err
12,0,183,0,0.15569339484780356
12,0,184,-2,0.23096658127386463
12,0,185,1,0.3203555138608397
12,0,186,-3,0.29345631579403547
12,0,187,-1,0.21141688243379292
12,0,188,0,0.13580914486438467
12,0,189,3,0.23998400970872014
12,0,190,3,0.23156485818681372
12,0,191,3,0.2444533320767135
12,0,192,-1,0.18202596154447312
12,0,193,3,0.2116977731743257
12,0,194,4,0.2771194327026252
12,0,195,4,0.26487953229656724
12,0,196,-2,0.23173762892136177
12,0,197,2,0.17592150761595807
12,0,198,-2,0.24141944270619456
12,0,199,-1,0.23437583322430403
12,1,0,4,0.26366699783379655
12,1,1,2,0.21830345919223898
12,1,2,-3,0.21582526632408355
12,1,3,-2,0.20545980115273935
12,1,4,-3,0.23525596639354276
12,1,5,3,0.23009449814277666
12,1,6,0,0.13753933160864368
12,1,7,4,0.26905293078757275
12,1,8,-4,0.24444086313759408
12,1,9,3,0.16649477728951861
12,1,10,0,0.16267133441660542
12,1,11,-2,0.17750444779302507
12,1,12,4,0.3298298870012493
12,1,13,0,0.14282465281369394
12,1,14,-1,0.17799341559759357
12,1,15,0,0.16127882535881982
12,1,16,1,0.1788161792901356
12,1,17,-1,0.16173759026572218
12,1,18,-2,0.2140081093470354
12,1,19,-4,0.2937283200124696
12,1,20,-3,0.1497580449995281
12,1,21,2,0.16752065321163198
12,1,22,1,0.16076242851206876
12,1,23,1,0.15616199204361023
12,1,24,0,0.1399324791668488
12,1,25,3,0.21351960977358492
12,1,26,3,0.29977731884908937
12,1,27,1,0.16088948567221809
12,1,28,3,0.2244983293395928
12,1,29,3,0.19867159698448217
12,1,30,0,0.2593059641431893
12,1,31,2,0.18608398189221684
12,1,32,-2,0.1651787130699306
12,1,33,4,0.2232259240281856
12,1,34,4,0.26076695457381
12,1,35,2,0.2253606321159997
12,1,36,-2,0.16877107948280848
12,1,37,1,0.22593870479179123
12,1,38,-2,0.17614172502571482
12,1,39,4,0.2582912667205319
12,1,40,0,0.19015675211777247
12,1,41,0,0.15199851213612434
12,1,42,2,0.19378687863495972
12,1,43,1,0.19633936281020073
12,1,44,-4,0.24118677346933262
12,1,45,4,0.21263879669114566
12,1,46,1,0.19936491174290236
12,1,47,-3,0.15870176734381317
12,1,48,-4,0.28005600371903927
12,1,49,0,0.2055482493577685
12,1,50,-1,0.22599081952395064
12,1,51,0,0.16056680496018802
12,1,52,4,0.33094634295177977
12,1,53,0,0.17057508081167175
12,1,54,4,0.20345887387400388
12,1,55,-1,0.13365415632809505
12,1,56,3,0.19589854225674544
12,1,57,-3,0.2634556974434631
12,1,58,4,0.3137770615076719
12,1,59,1,0.25580751538354357
12,1,60,4,0.21641689794301558
12,1,61,3,0.22464427566774467
12,1,62,-1,0.18822336292890313
12,1,63,2,0.18833108767578113
12,1,64,1,0.21435956029180223
12,1,65,4,0.2533233661481543
12,1,66,0,0.14178388672302328
12,1,67,3,0.15597031760633878
12,1,68,-1,0.15849836979815182
12,1,69,1,0.22180595467838865
12,1,70,-2,0.21774125271630654
12,1,71,-4,0.30236109551464635
12,1,72,0,0.18654627557800288
12,1,73,3,0.19087849832892723
12,1,74,1,0.1699354698052678
12,1,75,3,0.21730153028621568
12,1,76,4,0.24408763927482258
12,1,77,-3,0.19691062615304883
12,1,78,-4,0.30513218054344093
12,1,79,4,0.2401076019241669
12,1,80,-4,0.19342471331133976
12,1,81,-4,0.27520276674869226
12,1,82,0,0.11965509409582081
12,1,83,3,0.26489900399898136
12,1,84,1,0.13223147420068837
12,1,85,-3,0.24455404776360962
